feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank,fold,feature_strategy,selected_feature_k,selected
compare2016__opensmile_compare2016_mfcc_sma_4_meanRisingSlope,0.046183116922082636,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,112,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_17_skew,0.046015670096528107,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,113,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_2_risetime,0.045933426179060585,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,114,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audspecRasta_lengthL1norm_sma_de_meanPeakDist,0.04521677441636709,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,115,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_de_6_risetime,0.04498174322018408,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,116,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_fband250_650_sma_risetime,0.044463319771855206,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,117,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_08_q25,0.043922075316234044,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,118,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_logMelFreqBand_sma_0_linregc1,0.04354952552780174,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,119,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_voicingFinalUnclipped_sma_de_percentile99_0,0.04313550662063305,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,120,1,compare_is10_top800_lightgbm,800.0,True
strong__delta2_mfcc_31_max,0.043093826794524934,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,121,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_29_max,0.042475882819410116,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,122,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_08_median,0.042306090384913966,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,123,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_shimmerLocal_sma_upleveltime75,0.04192511433779684,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,124,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_RMSenergy_sma_de_skewness,0.0417059943573596,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,125,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_32_std,0.04168048221195589,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,126,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audspecRasta_lengthL1norm_sma_maxSegLen,0.041629046008598576,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,127,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_21_min,0.04149655160693225,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,128,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_4_amean,0.04142062466856589,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,129,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_04_q75,0.04127267180051176,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,130,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_01_median,0.04119004462790354,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,131,1,compare_is10_top800_lightgbm,800.0,True
is10__event_start_sec,0.04101112974821501,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,132,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_6_lpc3,0.040736851080088954,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,133,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_64_median,0.04054722568225391,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,134,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_3_meanRisingSlope,0.04042156822198339,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,135,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_zcr_sma_percentile1_0,0.04005441747058758,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,136,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_shimmerLocal_sma_de_iqr1_2,0.039949430392171525,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,137,1,compare_is10_top800_lightgbm,800.0,True
